Destination,Number of Travelers,Number of Days,Package Type,Season,Estimated Cost
Hampi,8,9,Luxury,Spring,133753.04
Pushkar,4,3,Standard,Spring,12183.61
Darjeeling,1,6,Budget,Spring,13408.22
Auli,1,9,Standard,Winter,53000.12
Gir National Park,5,14,Budget,Winter,212109.1
Jaipur,3,10,Budget,Monsoon,42898.08
Darjeeling,8,4,Budget,Monsoon,34264.88
Pachmarhi,2,4,Standard,Summer,15683.67
Alleppey,8,1,Standard,Spring,15768.49
Gwalior,5,6,Standard,Monsoon,35832.94
Bengaluru,7,6,Budget,Summer,94568.68
South Goa,2,7,Luxury,Spring,82181.37
Madurai,4,5,Budget,Spring,16821.76
Kochi,8,9,Luxury,Summer,217665.48
Kanyakumari,3,6,Luxury,Autumn,38615.86
Pune,2,2,Budget,Spring,5679.93
Mussoorie,5,7,Standard,Monsoon,58751.58
Udaipur,6,12,Budget,Summer,204614.01
Pelling,1,10,Standard,Monsoon,19760.88
Kanyakumari,3,3,Budget,Autumn,9070.99
Mumbai,3,11,Budget,Summer,109032.01
Alleppey,6,4,Standard,Spring,50477.64
Munnar,2,2,Budget,Winter,8650.77
Manali,4,4,Budget,Monsoon,18107.44
Gokarna,2,11,Luxury,Autumn,44565.91
Agra,5,14,Standard,Winter,171786.88
Pahalgam,6,14,Budget,Spring,126482.99
South Goa,8,1,Luxury,Autumn,34289.52
Araku Valley,8,9,Luxury,Spring,131150.66
Wayanad,8,8,Luxury,Winter,186202.78
Pushkar,7,3,Luxury,Winter,38974.2
Orchha,4,6,Luxury,Autumn,46680.9
Bhubaneswar,7,2,Budget,Winter,16385.36
Dalhousie,8,14,Luxury,Summer,345985.03
Rameswaram,5,9,Standard,Spring,47041.56
Mumbai,7,10,Luxury,Autumn,354991.17
Bhubaneswar,8,7,Luxury,Autumn,109571.41
Gwalior,5,9,Luxury,Spring,109114.41
Mussoorie,8,6,Luxury,Monsoon,115981.04
Hampi,1,3,Budget,Autumn,4232.8
Mount Abu,6,5,Luxury,Monsoon,66150.76
Jaisalmer,5,2,Budget,Spring,15170.3
Konark,1,2,Standard,Winter,5450.03
Mount Abu,7,4,Standard,Monsoon,37135.21
Visakhapatnam,8,5,Luxury,Monsoon,81098.11
Agra,4,3,Standard,Monsoon,19090.55
Alleppey,7,7,Standard,Autumn,98118.09
Agra,4,14,Luxury,Winter,218217.96
Dalhousie,8,9,Luxury,Spring,183539.35
Visakhapatnam,7,10,Luxury,Autumn,176747.96
Gwalior,7,8,Budget,Spring,59294.0
Khajuraho,2,8,Luxury,Winter,68963.46
Lucknow,5,13,Luxury,Autumn,185831.21
Tawang,1,9,Budget,Summer,24215.66
Pelling,8,10,Luxury,Autumn,197790.71
Majuli,3,4,Luxury,Spring,21634.22
Tirupati,7,13,Standard,Winter,214056.18
Mahabaleshwar,5,14,Budget,Monsoon,81304.82
Alleppey,4,6,Luxury,Autumn,82319.97
Darjeeling,8,5,Budget,Monsoon,46347.63
North Goa,2,11,Luxury,Summer,117078.51
Rishikesh,6,10,Budget,Summer,52284.46
Pachmarhi,5,11,Budget,Summer,70399.01
Konark,3,9,Budget,Summer,38258.59
Udaipur,3,7,Standard,Summer,88382.88
Lucknow,7,10,Budget,Summer,102948.85
Port Blair,6,13,Standard,Spring,179753.2
Varkala,3,5,Budget,Summer,17983.15
Kalimpong,1,1,Luxury,Winter,3571.74
Udaipur,8,4,Standard,Summer,115061.09
Leh,3,8,Budget,Monsoon,58608.29
Shimla,1,9,Budget,Monsoon,15623.81
Shimla,5,8,Standard,Monsoon,66319.75
Ranthambore,8,12,Luxury,Monsoon,375420.35
Varanasi,1,3,Budget,Monsoon,2821.7
Jodhpur,3,7,Luxury,Winter,81692.96
Haridwar,5,14,Luxury,Autumn,93146.15
Gwalior,1,12,Standard,Summer,32319.34
Tirupati,8,6,Luxury,Summer,172159.16
Tawang,8,2,Budget,Monsoon,17816.28
Alleppey,4,7,Budget,Autumn,45552.1
Darjeeling,7,7,Luxury,Monsoon,122105.18
Mount Abu,8,13,Standard,Winter,208217.42
Pelling,2,8,Standard,Autumn,32248.43
Chennai,2,5,Standard,Spring,19214.87
Chennai,3,1,Budget,Spring,3973.76
Coorg,4,2,Standard,Winter,17889.5
Madurai,7,7,Luxury,Autumn,83487.74
Ranthambore,3,4,Luxury,Winter,83419.13
Mahabaleshwar,2,5,Standard,Monsoon,18281.14
Port Blair,8,1,Standard,Summer,20157.43
Cherrapunji,3,4,Standard,Autumn,27538.02
Cherrapunji,3,6,Budget,Monsoon,23295.46
Varanasi,2,4,Standard,Summer,12322.91
Kanyakumari,7,4,Budget,Summer,28867.89
Mysore,1,3,Standard,Spring,7309.14
North Goa,8,6,Standard,Summer,129676.95
Gir National Park,3,2,Standard,Winter,25458.2
Pachmarhi,7,12,Luxury,Spring,171522.91
Port Blair,2,11,Luxury,Spring,101651.31
Mahabalipuram,4,2,Budget,Summer,10967.93
Lucknow,7,4,Luxury,Summer,85192.81
Wayanad,8,2,Luxury,Autumn,39303.59
Thekkady,6,3,Standard,Summer,42698.83
Wayanad,2,7,Standard,Monsoon,22507.25
Mysore,7,11,Budget,Monsoon,73300.1
Dalhousie,6,3,Standard,Summer,36490.56
Port Blair,6,13,Luxury,Summer,355404.15
Darjeeling,1,5,Standard,Monsoon,11906.68
Gulmarg,2,13,Luxury,Monsoon,157808.35
Mysore,4,2,Luxury,Autumn,21449.06
Pushkar,7,2,Standard,Monsoon,10521.03
Dharamshala,3,13,Standard,Spring,51919.74
Srinagar,3,7,Standard,Winter,65633.76
Pune,1,5,Standard,Spring,11961.93
Agra,7,2,Luxury,Autumn,43019.49
Visakhapatnam,1,5,Luxury,Winter,24608.6
Lucknow,5,9,Budget,Winter,71558.05
Kalimpong,8,14,Luxury,Autumn,203806.57
Mysore,2,14,Budget,Winter,47512.46
Majuli,6,9,Luxury,Autumn,85074.13
Coorg,6,7,Budget,Autumn,59884.04
Kolkata,1,14,Luxury,Summer,70562.68
Pune,7,5,Budget,Spring,40161.93
Jaisalmer,8,7,Budget,Winter,93942.28
Shimla,2,12,Standard,Summer,67753.82
North Goa,3,10,Standard,Winter,89105.56
Nainital,3,12,Standard,Summer,90642.04
Ooty,7,7,Standard,Monsoon,69120.01
Udaipur,4,14,Luxury,Autumn,299002.06
Ranthambore,2,3,Luxury,Winter,45616.29
Konark,2,13,Standard,Monsoon,38245.33
Wayanad,8,13,Budget,Autumn,125249.65
Puri,5,13,Luxury,Winter,154048.53
Orchha,3,1,Luxury,Winter,7608.13
Kovalam,5,7,Budget,Summer,90012.85
Pahalgam,5,13,Luxury,Winter,263758.5
Jodhpur,6,9,Budget,Summer,92650.73
Chennai,4,3,Luxury,Summer,37250.61
Pondicherry,5,14,Luxury,Monsoon,172806.01
Mahabaleshwar,8,9,Standard,Monsoon,100671.93
Wayanad,8,2,Standard,Spring,25285.94
Pelling,5,1,Standard,Winter,10342.76
Kanyakumari,7,6,Budget,Monsoon,29120.92
Pahalgam,6,6,Luxury,Spring,113883.55
Kaziranga,3,4,Standard,Monsoon,31563.93
Gulmarg,8,14,Budget,Summer,382922.78
Lonavala,2,12,Budget,Summer,43435.96
Shillong,8,5,Budget,Winter,65292.75
Puri,5,12,Luxury,Spring,121324.99
Pune,1,10,Luxury,Monsoon,30647.58
Agra,4,10,Standard,Autumn,83574.45
Mahabalipuram,5,13,Luxury,Monsoon,128784.68
Pelling,5,8,Luxury,Winter,136686.54
Rameswaram,7,11,Budget,Winter,66615.51
Gulmarg,4,2,Luxury,Winter,62911.81
Tawang,1,6,Luxury,Monsoon,23012.01
Gokarna,6,3,Budget,Summer,17728.39
Agra,6,10,Budget,Monsoon,72164.66
Dharamshala,2,6,Luxury,Autumn,27953.4
Lucknow,6,7,Standard,Autumn,70875.88
South Goa,8,12,Budget,Autumn,201152.82
Manali,8,12,Standard,Winter,203581.9
Wayanad,1,6,Standard,Monsoon,12414.39
Pondicherry,5,8,Standard,Winter,94275.3
Gulmarg,3,8,Budget,Autumn,80398.75
Gir National Park,5,3,Luxury,Monsoon,65302.23
Udaipur,5,13,Budget,Monsoon,130936.98
Darjeeling,6,11,Luxury,Spring,210631.89
Wayanad,3,5,Standard,Winter,32319.06
Kalimpong,2,11,Luxury,Monsoon,41453.34
Tirupati,5,5,Standard,Monsoon,42121.71
Ranthambore,2,11,Standard,Autumn,88042.07
Madurai,4,9,Luxury,Monsoon,49560.88
Tirupati,5,11,Luxury,Autumn,186871.54
Haridwar,4,2,Standard,Summer,7885.15
Jaipur,8,11,Luxury,Autumn,281251.08
Pushkar,7,11,Standard,Winter,88174.44
Cherrapunji,1,9,Standard,Winter,32499.43
Varanasi,1,3,Luxury,Spring,7474.79
Varanasi,2,6,Luxury,Summer,29261.66
Munnar,2,14,Standard,Summer,83146.55
Haridwar,6,8,Standard,Monsoon,31244.68
Mumbai,2,8,Standard,Autumn,64308.89
Bhubaneswar,6,4,Standard,Monsoon,25010.68
Havelock Island,8,12,Luxury,Spring,623077.13
Mahabaleshwar,8,1,Luxury,Monsoon,17758.13
Dharamshala,3,13,Luxury,Monsoon,64714.16
Port Blair,3,3,Budget,Winter,21204.14
Pelling,7,8,Luxury,Autumn,143474.63
Kumarakom,4,7,Budget,Summer,84225.65
Puri,6,10,Budget,Monsoon,44439.38
Pondicherry,2,12,Standard,Monsoon,43229.17
Mount Abu,6,2,Standard,Spring,21312.51
Bengaluru,1,14,Luxury,Monsoon,68042.4
Puri,5,8,Standard,Spring,49947.69
Mysore,5,13,Budget,Winter,100423.36
Leh,8,2,Standard,Winter,66703.86
Munnar,5,14,Standard,Winter,179397.51
Kodaikanal,8,14,Luxury,Spring,290644.02
Jaisalmer,7,1,Luxury,Winter,24999.19
Pelling,2,7,Budget,Winter,26076.38
Wayanad,3,2,Budget,Winter,9836.39
Udaipur,7,7,Budget,Summer,136125.04
Port Blair,4,12,Standard,Monsoon,90081.23
Kaziranga,1,7,Luxury,Winter,60931.76
Cherrapunji,8,9,Standard,Autumn,133086.28
Shimla,5,3,Budget,Spring,24673.37
Leh,7,12,Budget,Autumn,222041.45
North Goa,6,11,Luxury,Spring,247546.23
Pahalgam,6,13,Standard,Autumn,155314.38
Gokarna,7,8,Standard,Summer,68162.02
Nainital,8,3,Luxury,Spring,70714.64
Kovalam,7,11,Budget,Autumn,150044.4
Chennai,5,14,Standard,Spring,115300.13
Varanasi,5,4,Budget,Winter,20375.64
Darjeeling,1,4,Budget,Autumn,9221.22
Jaisalmer,2,8,Standard,Monsoon,30316.83
Cherrapunji,7,13,Budget,Summer,155634.79
Mumbai,5,9,Luxury,Winter,302883.7
Mahabaleshwar,5,7,Standard,Autumn,70811.38
Auli,5,11,Standard,Autumn,193005.96
Udaipur,4,9,Standard,Spring,115689.44
Kumarakom,8,7,Standard,Summer,206734.96
North Goa,1,12,Budget,Summer,38324.15
Pelling,8,8,Luxury,Spring,163907.95
Tawang,3,3,Luxury,Monsoon,25097.07
Jaisalmer,8,1,Standard,Autumn,15060.61
Gangtok,6,6,Standard,Autumn,77130.15
Puri,6,3,Budget,Summer,19166.78
Kovalam,3,5,Standard,Monsoon,34351.9
Mumbai,1,11,Standard,Monsoon,43464.18
Gokarna,5,7,Luxury,Spring,61569.94
Visakhapatnam,2,6,Budget,Monsoon,14238.67
Shillong,1,1,Luxury,Spring,4298.79
Shillong,3,12,Standard,Monsoon,59158.65
Havelock Island,8,8,Standard,Spring,261194.44
Gokarna,3,12,Budget,Spring,31122.29
Pachmarhi,3,2,Standard,Winter,10293.82
Port Blair,4,10,Standard,Monsoon,74165.24
Hampi,7,7,Standard,Spring,58681.51
Haridwar,4,7,Luxury,Summer,45000.16
Pahalgam,5,10,Budget,Spring,78063.59
Kovalam,6,4,Budget,Autumn,46252.22
Udaipur,2,10,Standard,Spring,77214.81
Munnar,5,9,Budget,Winter,86600.23
Alleppey,4,7,Luxury,Winter,116367.21
Agra,3,12,Standard,Monsoon,65124.63
Varkala,8,1,Luxury,Monsoon,11047.88
Majuli,2,5,Budget,Autumn,8814.94
Tirupati,3,9,Standard,Summer,71141.55
Kaziranga,6,3,Luxury,Spring,87151.39
Havelock Island,5,13,Standard,Spring,293840.93
Port Blair,7,7,Standard,Autumn,108983.12
Lonavala,1,4,Budget,Autumn,7734.5
Srinagar,1,1,Luxury,Winter,6865.51
Varanasi,3,6,Budget,Summer,18828.9
Jaisalmer,2,6,Budget,Summer,25691.59
Kanyakumari,3,6,Standard,Autumn,24254.5
Udaipur,5,6,Luxury,Autumn,155248.96
Coorg,6,12,Budget,Winter,120020.09
Kovalam,1,7,Standard,Winter,33481.87
Shimla,3,6,Standard,Winter,47908.02
Leh,1,1,Standard,Autumn,5420.75
Udaipur,7,3,Luxury,Spring,102099.33
Coorg,3,1,Luxury,Spring,9425.23
Wayanad,8,12,Budget,Autumn,115073.63
Jaisalmer,3,7,Standard,Summer,57209.7
Araku Valley,8,10,Standard,Autumn,89357.87
Visakhapatnam,3,8,Standard,Spring,42944.12
Bhubaneswar,6,3,Luxury,Monsoon,30540.44
Lonavala,7,9,Budget,Winter,95196.97
Pelling,6,3,Standard,Winter,36498.76
Tirupati,5,5,Luxury,Spring,85592.61
Lucknow,6,5,Standard,Winter,59837.87
Leh,7,13,Standard,Winter,385663.02
Port Blair,2,5,Standard,Monsoon,22946.1
Ziro,2,3,Luxury,Monsoon,10126.81
Manali,8,6,Standard,Monsoon,66269.75
Varanasi,4,1,Standard,Monsoon,3558.66
Mussoorie,4,12,Luxury,Summer,185721.87
Pushkar,3,1,Budget,Summer,2996.34
Alleppey,7,5,Luxury,Summer,135055.31
Mumbai,5,2,Luxury,Summer,68079.12
Shillong,7,14,Luxury,Summer,344560.78
Pachmarhi,3,14,Standard,Winter,73367.58
Puri,4,2,Budget,Winter,8659.25
Darjeeling,3,11,Budget,Monsoon,43247.44
Jodhpur,1,6,Luxury,Winter,32203.41
Kaziranga,4,13,Luxury,Winter,303614.42
Havelock Island,7,7,Luxury,Spring,322910.93
Haridwar,6,13,Luxury,Summer,118130.71
Mysore,8,5,Budget,Winter,52847.16
Mysore,6,12,Budget,Spring,84658.87
Jaipur,7,10,Budget,Spring,105898.49
Bengaluru,3,13,Luxury,Spring,184876.69
Agra,3,5,Luxury,Spring,54746.11
Pune,1,4,Standard,Spring,9409.99
Pushkar,6,5,Standard,Autumn,29853.66
Ranthambore,2,7,Budget,Monsoon,32714.89
Varanasi,4,4,Luxury,Spring,28077.11
Port Blair,3,7,Luxury,Spring,87922.22
Mussoorie,2,4,Standard,Autumn,19398.0
Mount Abu,6,7,Luxury,Autumn,117052.84
Visakhapatnam,2,3,Standard,Monsoon,9033.01
Pelling,5,5,Luxury,Monsoon,54113.14
Bhubaneswar,8,12,Budget,Autumn,86283.54
Lonavala,8,11,Budget,Monsoon,88321.8
Orchha,4,2,Luxury,Summer,18772.67
Rann of Kutch,8,12,Budget,Spring,250775.86
Khajuraho,4,4,Luxury,Winter,58801.48
Rann of Kutch,2,8,Luxury,Monsoon,89295.39
Gwalior,6,1,Standard,Summer,10748.97
Jodhpur,4,2,Standard,Spring,15397.59
Nainital,2,12,Budget,Autumn,41120.35
Mahabalipuram,6,5,Budget,Summer,38929.29
Bhubaneswar,8,12,Budget,Spring,92249.31
Port Blair,8,10,Budget,Winter,157304.36
Bhubaneswar,3,1,Standard,Monsoon,3606.51
Gulmarg,6,9,Standard,Autumn,217665.07
Khajuraho,2,5,Standard,Autumn,22974.18
Pushkar,6,8,Standard,Winter,56370.08
Mysore,4,13,Standard,Autumn,83768.98
Gangtok,8,9,Budget,Autumn,108794.06
Kolkata,8,7,Budget,Monsoon,54761.71
Jodhpur,5,11,Budget,Monsoon,64371.98
Araku Valley,8,12,Budget,Autumn,81074.52
Jaipur,7,13,Standard,Spring,186923.52
Rameswaram,5,2,Budget,Monsoon,6400.37
Madurai,5,1,Luxury,Monsoon,6981.99
Darjeeling,7,14,Budget,Monsoon,111681.18
Coorg,1,5,Budget,Summer,12992.8
Tirupati,3,12,Budget,Summer,69730.27
Rameswaram,8,7,Luxury,Monsoon,68636.68
Mount Abu,3,14,Budget,Winter,72203.44
Kumarakom,1,1,Standard,Autumn,5027.14
Kochi,3,1,Luxury,Autumn,9345.51
Mount Abu,7,9,Luxury,Monsoon,136792.36
Auli,4,13,Budget,Spring,135414.34
Varkala,5,5,Standard,Monsoon,25050.79
Mahabalipuram,8,10,Luxury,Winter,210185.59
Lucknow,5,11,Budget,Spring,73657.75
Kochi,7,12,Luxury,Monsoon,181384.57
Orchha,3,10,Luxury,Winter,79028.98
Munnar,6,4,Budget,Winter,43183.18
Konark,8,3,Luxury,Spring,51952.92
Rishikesh,5,7,Budget,Spring,28315.59
Orchha,6,6,Luxury,Monsoon,54882.19
Darjeeling,4,9,Standard,Spring,72673.19
Rann of Kutch,7,1,Standard,Winter,30103.29
Kanyakumari,2,7,Luxury,Summer,38601.15
Orchha,6,9,Budget,Monsoon,38879.11
Kolkata,6,14,Budget,Autumn,107623.0
Kochi,2,6,Luxury,Autumn,41527.72
Gokarna,1,7,Standard,Summer,13230.53
Chennai,2,10,Budget,Autumn,28316.97
Kaziranga,4,2,Budget,Spring,18041.45
Madurai,2,6,Budget,Winter,13882.77
Khajuraho,4,3,Standard,Spring,23145.84
Madurai,8,11,Standard,Summer,102269.38
Jodhpur,7,3,Luxury,Monsoon,47607.12
Lonavala,5,4,Budget,Winter,32941.16
Mahabaleshwar,6,14,Luxury,Winter,280948.47
Haridwar,4,14,Standard,Winter,54644.81
Srinagar,2,10,Luxury,Winter,107307.44
Shimla,4,6,Standard,Monsoon,40927.84
Mahabaleshwar,2,9,Budget,Winter,36673.92
Haridwar,6,6,Luxury,Summer,55694.7
Udaipur,4,2,Luxury,Autumn,40250.25
Rameswaram,2,6,Luxury,Monsoon,19028.6
Shillong,4,1,Luxury,Winter,14439.42
Rishikesh,3,4,Standard,Spring,13501.35
Varanasi,4,2,Luxury,Winter,16403.23
Pachmarhi,1,7,Budget,Monsoon,8408.7
Mumbai,3,12,Luxury,Summer,256363.65
Mussoorie,5,10,Standard,Autumn,107940.84
Cherrapunji,3,10,Luxury,Winter,128124.63
Udaipur,5,7,Luxury,Monsoon,148970.99
Coorg,4,6,Luxury,Autumn,71780.33
Ranthambore,8,3,Luxury,Winter,144054.2
Kolkata,8,13,Luxury,Autumn,264063.69
Kolkata,4,9,Standard,Autumn,63948.73
Varanasi,1,8,Budget,Spring,9700.67
Srinagar,3,10,Standard,Summer,89373.71
Lucknow,6,11,Luxury,Autumn,176420.99
Madurai,2,9,Standard,Autumn,22919.02
Cherrapunji,7,12,Budget,Spring,120281.68
Kochi,3,8,Luxury,Summer,87224.31
Visakhapatnam,1,14,Standard,Monsoon,27964.06
Orchha,6,8,Luxury,Autumn,91557.24
Bhubaneswar,7,10,Budget,Winter,80654.2
Alleppey,7,12,Budget,Winter,160081.26
Ranthambore,7,3,Budget,Winter,62293.56
Jaipur,5,6,Budget,Summer,60870.67
Lucknow,6,8,Luxury,Winter,153412.6
Kalimpong,4,12,Luxury,Summer,112948.06
Kovalam,2,5,Luxury,Winter,62024.21
Kodaikanal,5,6,Standard,Spring,53545.49
Munnar,4,8,Luxury,Autumn,107058.24
Orchha,5,8,Budget,Summer,44832.21
Puri,3,7,Luxury,Autumn,43310.72
Pushkar,7,7,Budget,Autumn,37258.92
Kanyakumari,2,12,Luxury,Monsoon,43035.14
Mahabalipuram,2,7,Luxury,Monsoon,31927.03
Lonavala,2,5,Budget,Autumn,16154.94
Kovalam,4,7,Budget,Autumn,56885.08
Bhubaneswar,2,9,Standard,Summer,34304.7
Shimla,1,11,Budget,Autumn,24413.96
Pahalgam,5,7,Luxury,Summer,140241.24
Khajuraho,2,3,Budget,Spring,10196.81
Tawang,4,1,Budget,Autumn,5769.93
Kovalam,6,12,Luxury,Winter,370294.01
Ranthambore,3,7,Budget,Monsoon,47035.31
Port Blair,2,1,Luxury,Summer,10573.1
Kalimpong,2,2,Budget,Autumn,4264.85
Kanyakumari,5,6,Standard,Summer,45424.64
Pushkar,8,12,Budget,Summer,78904.52
Udaipur,7,4,Budget,Autumn,64660.87
Mount Abu,7,2,Standard,Autumn,23867.73
Auli,2,4,Budget,Winter,28571.03
Kolkata,8,14,Budget,Autumn,135637.91
Rishikesh,5,3,Budget,Winter,14175.05
Haridwar,2,5,Budget,Spring,7365.69
Pondicherry,6,2,Luxury,Autumn,35711.63
Kochi,7,5,Luxury,Summer,113209.17
Lonavala,4,2,Luxury,Summer,27995.29
Araku Valley,2,3,Luxury,Winter,16241.16
Rann of Kutch,4,6,Budget,Monsoon,54338.3
Visakhapatnam,4,9,Luxury,Monsoon,77830.94
Kalimpong,1,14,Luxury,Spring,39103.8
Jodhpur,8,6,Luxury,Winter,157548.05
Mahabalipuram,7,1,Budget,Autumn,7471.42
Mysore,6,9,Standard,Autumn,87103.48
Pachmarhi,1,7,Standard,Monsoon,10965.62
Mumbai,3,3,Standard,Autumn,33019.21
Kochi,8,10,Budget,Monsoon,79274.31
Mussoorie,1,13,Budget,Spring,29000.63
Coorg,3,11,Standard,Autumn,67859.2
Pondicherry,7,12,Budget,Monsoon,90447.4
Rann of Kutch,5,10,Budget,Winter,178313.35
Cherrapunji,3,1,Budget,Monsoon,3813.96
Alleppey,3,14,Standard,Autumn,97020.58
Thekkady,6,6,Standard,Monsoon,57111.81
Udaipur,4,2,Luxury,Monsoon,33813.76
Majuli,4,14,Budget,Autumn,42815.79
Srinagar,6,2,Luxury,Spring,43647.06
Pondicherry,7,13,Luxury,Autumn,262646.1
Pachmarhi,6,6,Luxury,Winter,92555.97
Gangtok,5,14,Budget,Autumn,116278.69
Varanasi,5,3,Standard,Winter,19820.31
Shillong,2,7,Budget,Winter,28451.59
Shimla,7,1,Budget,Autumn,10350.52
Port Blair,2,5,Budget,Winter,24219.69
Mussoorie,4,11,Standard,Winter,107239.52
Konark,1,1,Budget,Winter,1968.58
Gwalior,3,11,Budget,Spring,40545.43
Kaziranga,6,6,Standard,Winter,127473.37
Gangtok,5,1,Standard,Autumn,11394.87
Majuli,1,10,Luxury,Winter,29442.34
Lucknow,3,6,Standard,Winter,39165.89
Pondicherry,2,8,Standard,Winter,43043.66
Konark,6,4,Budget,Spring,26180.61
Mussoorie,7,11,Standard,Monsoon,120338.24
Gangtok,6,3,Luxury,Summer,71753.33
Ziro,7,9,Luxury,Autumn,104011.24
Varanasi,4,11,Standard,Autumn,47770.84
Konark,8,14,Standard,Winter,191052.16
Jaisalmer,6,6,Luxury,Summer,135520.01
Pelling,2,12,Luxury,Winter,93986.24
Srinagar,5,4,Budget,Autumn,36682.13
Agra,8,5,Luxury,Autumn,116902.11
Darjeeling,2,8,Budget,Spring,28431.8
Hampi,5,14,Standard,Monsoon,69302.78
Gulmarg,2,10,Budget,Summer,88898.45
North Goa,4,9,Budget,Autumn,63808.31
Shillong,3,6,Standard,Autumn,36457.86
Gwalior,1,10,Luxury,Spring,34619.71
Kalimpong,1,11,Budget,Autumn,15234.03
Gokarna,8,7,Standard,Autumn,56016.23
Orchha,7,3,Luxury,Autumn,39799.04
Dharamshala,1,9,Budget,Spring,12266.86
Shimla,2,7,Luxury,Winter,66108.87
Kaziranga,1,1,Standard,Monsoon,3627.34
Ziro,3,10,Budget,Monsoon,20744.71
Cherrapunji,2,2,Standard,Spring,9718.23
Pondicherry,7,13,Budget,Spring,121951.95
Wayanad,5,11,Standard,Summer,115150.5
Kanyakumari,8,8,Standard,Summer,86387.83
Tawang,1,8,Budget,Summer,21506.86
Thekkady,8,14,Standard,Monsoon,166869.96
Pune,2,8,Budget,Summer,26788.79
Pushkar,8,10,Budget,Autumn,55015.46
Kovalam,7,13,Standard,Monsoon,181670.39
Mount Abu,8,8,Luxury,Monsoon,132735.57
Gwalior,5,12,Luxury,Monsoon,117453.76
Varkala,1,10,Standard,Winter,21914.82
Kumarakom,2,3,Budget,Winter,20996.28
Ranthambore,4,1,Budget,Spring,10015.42
Kovalam,2,7,Luxury,Spring,73209.46
Dharamshala,6,14,Budget,Summer,90494.24
Jodhpur,8,10,Budget,Spring,103805.04
Shimla,8,4,Luxury,Summer,114414.53
Pondicherry,2,1,Budget,Autumn,3343.38
Ziro,4,3,Budget,Winter,11643.6
Mahabaleshwar,4,1,Standard,Spring,7642.91
South Goa,6,13,Standard,Winter,281572.07
Wayanad,8,4,Standard,Winter,62507.21
Port Blair,7,7,Budget,Summer,99585.21
Mount Abu,6,11,Luxury,Spring,187487.78
Kodaikanal,8,2,Standard,Monsoon,21319.79
Shimla,8,13,Standard,Winter,227762.6
Haridwar,3,4,Standard,Autumn,10433.92
Wayanad,6,3,Luxury,Autumn,45705.31
Wayanad,3,7,Budget,Monsoon,23463.41
Tirupati,5,7,Budget,Summer,65432.62
Udaipur,5,3,Standard,Summer,62496.48
Rishikesh,8,6,Standard,Autumn,45109.36
Coorg,6,7,Luxury,Winter,150676.45
Hampi,2,9,Standard,Summer,31582.28
Jaisalmer,6,3,Luxury,Monsoon,45439.52
Mahabalipuram,2,13,Standard,Autumn,45734.53
Leh,5,2,Luxury,Winter,74460.57
Shimla,5,8,Luxury,Monsoon,106173.85
Ziro,7,9,Budget,Winter,55919.59
Kumarakom,2,4,Budget,Spring,24170.98
Dalhousie,5,4,Standard,Spring,35815.59
Agra,2,12,Standard,Spring,57625.21
Dharamshala,1,9,Standard,Autumn,15526.79
Tawang,6,10,Budget,Monsoon,71538.77
Gokarna,3,8,Standard,Autumn,29506.48
Ooty,1,8,Luxury,Winter,43332.36
Gangtok,1,12,Standard,Monsoon,31161.01
Mahabalipuram,2,10,Budget,Monsoon,20893.84
Lucknow,1,2,Standard,Autumn,5037.97
South Goa,2,5,Standard,Summer,44712.53
Coorg,2,3,Budget,Winter,11797.16
Mahabaleshwar,5,12,Standard,Spring,114960.7
Kovalam,2,11,Standard,Winter,84953.99
Kodaikanal,4,9,Standard,Monsoon,51571.15
Ranthambore,7,10,Luxury,Summer,430512.51
Dalhousie,1,2,Budget,Winter,4422.52
Mahabaleshwar,5,6,Luxury,Autumn,94236.53
Shillong,7,10,Standard,Monsoon,97735.33
Mumbai,5,2,Budget,Spring,26373.54
Orchha,8,10,Luxury,Spring,142444.5
Port Blair,5,5,Budget,Monsoon,36933.97
Kumarakom,2,14,Luxury,Winter,218519.85
Dharamshala,4,8,Luxury,Spring,62004.92
Rishikesh,2,12,Budget,Autumn,22299.76
Lucknow,5,13,Budget,Autumn,87307.78
Lucknow,8,11,Standard,Autumn,136970.58
Visakhapatnam,8,8,Luxury,Autumn,155160.72
Mussoorie,5,12,Standard,Spring,123733.58
Darjeeling,8,12,Luxury,Autumn,284383.33
Shillong,3,14,Standard,Spring,81252.17
Kumarakom,7,1,Budget,Autumn,17094.16
Manali,3,13,Standard,Monsoon,65103.38
Nainital,6,12,Luxury,Winter,266555.4
Mysore,3,5,Budget,Autumn,19652.46
Kumarakom,3,2,Luxury,Summer,43208.17
Leh,1,13,Luxury,Autumn,112621.37
Thekkady,2,12,Budget,Winter,50521.79
Jaisalmer,3,11,Luxury,Winter,139117.7
Ooty,1,10,Standard,Spring,27588.29
Pondicherry,2,7,Budget,Monsoon,19439.26
Madurai,7,2,Budget,Spring,10920.0
Udaipur,4,11,Standard,Spring,136413.98
Mahabaleshwar,3,4,Standard,Summer,29115.13
Kalimpong,8,5,Luxury,Spring,71950.29
Lonavala,7,10,Standard,Autumn,115000.29
Jaisalmer,5,2,Budget,Monsoon,12186.79
Mahabaleshwar,2,13,Standard,Spring,59388.93
Rameswaram,1,7,Budget,Spring,7762.86
Hampi,5,2,Luxury,Winter,23233.92
Tirupati,2,10,Standard,Monsoon,38014.67
Kaziranga,5,3,Budget,Spring,35516.3
