attraction_name,destination_name,category,description,entry_fee,opening_time,closing_time,average_visit_time,image
Dudhsagar Waterfalls,South Goa,Nature,A four-tiered waterfall falling down steep mountains.,400.0,09:00:00,16:00:00,240,attractions/dudhsagar_waterfalls.jpg
Margao Municipal Market,South Goa,City,A traditional Goan market selling spices and fresh fish.,0.0,08:00:00,20:00:00,90,attractions/margao_municipal_market.jpg
Virupaksha Temple,Hampi,Spiritual,An active 7th-century Hindu temple dedicated to Shiva.,25.0,06:00:00,18:00:00,90,attractions/virupaksha_temple.jpg
Vijaya Vittala Temple,Hampi,Heritage,Famous temple housing the iconic stone chariot.,40.0,08:30:00,17:30:00,120,attractions/vijaya_vittala_temple.jpg
Hampi Stone Chariot,Hampi,Heritage,A monumental shrine carved in the shape of a stone chariot.,0.0,08:30:00,17:30:00,30,attractions/hampi_stone_chariot.jpg
Lotus Mahal Hampi,Hampi,Heritage,A beautiful secular palace showcasing Indo-Islamic design.,0.0,08:30:00,17:30:00,60,attractions/lotus_mahal_hampi.jpg
Matanga Hill,Hampi,Nature,A hill offering gorgeous sunrise and sunset views over Hampi.,0.0,05:00:00,19:00:00,90,attractions/matanga_hill.jpg
Elephant Stables Hampi,Hampi,Heritage,Eleven large domed chambers designed for royal elephants.,0.0,08:30:00,17:30:00,60,attractions/elephant_stables_hampi.jpg
Abbey Falls,Coorg,Nature,A scenic waterfall surrounded by cardamom plantations.,15.0,09:00:00,17:00:00,90,attractions/abbey_falls.jpg
Raja's Seat,Coorg,Nature,A seasonal flower garden providing spectacular valley views.,5.0,06:00:00,20:00:00,60,attractions/raja's_seat.jpg
Dubare Elephant Camp,Coorg,Wildlife,An elephant training camp next to the Cauvery River.,100.0,09:00:00,17:00:00,150,attractions/dubare_elephant_camp.jpg
Namdroling Golden Temple,Coorg,Spiritual,A gorgeous Tibetan Buddhist monastery housing large statues.,0.0,09:00:00,18:00:00,120,attractions/namdroling_golden_temple.jpg
Talakaveri,Coorg,Spiritual,The source birthplace of the sacred Cauvery River.,0.0,06:00:00,20:30:00,90,attractions/talakaveri.jpg
Mysore Palace,Mysore,Heritage,The majestic royal palace seat of Wodeyar dynasty.,100.0,10:00:00,17:30:00,120,attractions/mysore_palace.jpg
Chamundeshwari Temple,Mysore,Spiritual,A hilltop temple dedicated to Chamundeshwari deity.,0.0,07:30:00,21:00:00,90,attractions/chamundeshwari_temple.jpg
Brindavan Gardens,Mysore,Nature,Beautiful terrace gardens famous for musical fountain shows.,50.0,09:00:00,21:00:00,120,attractions/brindavan_gardens.jpg
Mysore Zoo,Mysore,Wildlife,One of the oldest and most famous zoos in India.,100.0,08:30:00,17:30:00,150,attractions/mysore_zoo.jpg
St. Philomena's Church Mysore,Mysore,Heritage,A tall Gothic style cathedral containing relics.,0.0,05:00:00,18:00:00,45,attractions/st._philomena's_church_mysore.jpg
Lalbagh Botanical Garden,Bengaluru,Nature,A historic 240-acre greenhouse garden built by Hyder Ali.,25.0,06:00:00,19:00:00,90,attractions/lalbagh_botanical_garden.jpg
Bangalore Palace,Bengaluru,Heritage,A majestic Tudor style palace resembling Windsor Castle.,230.0,10:00:00,17:30:00,120,attractions/bangalore_palace.jpg
Cubbon Park,Bengaluru,Nature,A huge green park located in the central administrative area.,0.0,06:00:00,18:00:00,90,attractions/cubbon_park.jpg
Visvesvaraya Museum,Bengaluru,City,An interactive science and technology museum.,85.0,10:00:00,18:00:00,150,attractions/visvesvaraya_museum.jpg
Bull Temple,Bengaluru,Spiritual,An old temple hosting a massive monolithic Nandi bull.,0.0,06:00:00,20:00:00,45,attractions/bull_temple.jpg
Mahabaleshwar Temple Gokarna,Gokarna,Spiritual,A sacred Shiva temple housing the Atma Linga.,0.0,06:00:00,20:00:00,90,attractions/mahabaleshwar_temple_gokarna.jpg
Om Beach,Gokarna,Beach,A naturally shaped Om symbol beach offering boat rides.,0.0,00:00:00,23:59:59,120,attractions/om_beach.jpg
Kudle Beach,Gokarna,Beach,A wide sandy beach famous for sunsets and beach volleyball.,0.0,00:00:00,23:59:59,90,attractions/kudle_beach.jpg
Half Moon Beach,Gokarna,Beach,A small secluded cove reachable by trekking over cliffs.,0.0,00:00:00,23:59:59,120,attractions/half_moon_beach.jpg
Paradise Beach Gokarna,Gokarna,Beach,A remote rocky beach popular with campers.,0.0,00:00:00,23:59:59,120,attractions/paradise_beach_gokarna.jpg
Ooty Botanical Gardens,Ooty,Nature,A terraced garden featuring fossilized tree trunks.,30.0,07:00:00,18:30:00,120,attractions/ooty_botanical_gardens.jpg
Ooty Lake,Ooty,Nature,An artificial lake offering boating and a mini train.,100.0,09:00:00,18:00:00,90,attractions/ooty_lake.jpg
Doddabetta Peak,Ooty,Nature,"The highest point in South India, offering telescopic views.",10.0,09:00:00,18:00:00,90,attractions/doddabetta_peak.jpg
Nilgiri Mountain Railway,Ooty,Heritage,A historic steam engine toy train journey.,200.0,07:00:00,15:00:00,300,attractions/nilgiri_mountain_railway.jpg
Ooty Rose Garden,Ooty,Nature,An extensive rose garden showing thousands of varieties.,30.0,09:00:00,18:00:00,90,attractions/ooty_rose_garden.jpg
Kodaikanal Lake,Kodaikanal,Nature,A star-shaped lake offering rowing boats.,100.0,09:00:00,18:00:00,90,attractions/kodaikanal_lake.jpg
Coaker's Walk,Kodaikanal,Nature,A scenic paved pathway along steep mountain cliffs.,10.0,07:00:00,19:00:00,60,attractions/coaker's_walk.jpg
Bryant Park,Kodaikanal,Nature,A botanical garden showing structural roses and dahlias.,30.0,09:00:00,18:00:00,90,attractions/bryant_park.jpg
Silver Cascade Falls,Kodaikanal,Nature,A roadside waterfall coming down from cliffs.,0.0,00:00:00,23:59:59,30,attractions/silver_cascade_falls.jpg
Pillar Rocks,Kodaikanal,Nature,Three granite boulders standing vertically in cliffs.,5.0,09:00:00,16:30:00,60,attractions/pillar_rocks.jpg
Marina Beach,Chennai,Beach,The longest natural urban beach in the country.,0.0,00:00:00,23:59:59,90,attractions/marina_beach.jpg
Kapaleeshwarar Temple,Chennai,Spiritual,A Dravidian temple showcasing towering Gopurams.,0.0,05:00:00,21:00:00,90,attractions/kapaleeshwarar_temple.jpg
Fort St. George Museum,Chennai,Heritage,A British fort enclosing assembly structures.,100.0,09:00:00,17:00:00,90,attractions/fort_st._george_museum.jpg
Government Museum Chennai,Chennai,Heritage,A large museum containing Bronze artifacts.,15.0,09:30:00,17:00:00,120,attractions/government_museum_chennai.jpg
San Thome Basilica,Chennai,Spiritual,A neo-Gothic cathedral built over the tomb of St. Thomas.,0.0,06:00:00,21:00:00,60,attractions/san_thome_basilica.jpg
Shore Temple,Mahabalipuram,Heritage,An old temple built overlooking the Bay of Bengal.,40.0,06:00:00,18:00:00,90,attractions/shore_temple.jpg
Pancha Rathas,Mahabalipuram,Heritage,Five monolithic rock-cut chariot structures.,40.0,06:00:00,18:00:00,90,attractions/pancha_rathas.jpg
Krishna's Butterball,Mahabalipuram,Nature,A giant balancing granite boulder resting on a slope.,0.0,06:00:00,18:00:00,45,attractions/krishna's_butterball.jpg
Arjuna's Penance,Mahabalipuram,Heritage,A colossal bas-relief carving detailing mythical tales.,0.0,06:00:00,18:00:00,45,attractions/arjuna's_penance.jpg
Mahabalipuram Beach,Mahabalipuram,Beach,A sandy beach situated adjacent to Shore Temple.,0.0,00:00:00,23:59:59,90,attractions/mahabalipuram_beach.jpg
Meenakshi Amman Temple,Madurai,Spiritual,A massive temple displaying 14 colorful Gopurams.,0.0,05:00:00,22:00:00,150,attractions/meenakshi_amman_temple.jpg
Thirumalai Nayakkar Mahal,Madurai,Heritage,A 17th-century palace showing grand pillars.,10.0,09:00:00,17:00:00,90,attractions/thirumalai_nayakkar_mahal.jpg
Gandhi Memorial Museum Madurai,Madurai,Heritage,A museum housing the blood-stained garment of Gandhi.,0.0,10:00:00,17:45:00,90,attractions/gandhi_memorial_museum_madurai.jpg
Alagar Koyil,Madurai,Spiritual,A temple of Lord Vishnu situated on hills.,0.0,06:00:00,18:00:00,90,attractions/alagar_koyil.jpg
Vandiyur Mariamman Teppakulam,Madurai,Spiritual,A massive temple tank reservoir with an island temple.,0.0,06:00:00,21:00:00,60,attractions/vandiyur_mariamman_teppakulam.jpg
Ramanathaswamy Temple,Rameswaram,Spiritual,Famous for its massive pillared corridors.,0.0,05:00:00,21:00:00,120,attractions/ramanathaswamy_temple.jpg
Pamban Bridge,Rameswaram,Heritage,A historic cantilever railway bridge crossing sea waters.,0.0,00:00:00,23:59:59,45,attractions/pamban_bridge.jpg
Dhanushkodi Beach,Rameswaram,Beach,A ghost town beach at the tip of India's border.,0.0,06:00:00,18:00:00,120,attractions/dhanushkodi_beach.jpg
Agnitheertham,Rameswaram,Spiritual,The sacred beach where pilgrims bathe before entering temples.,0.0,05:00:00,18:00:00,60,attractions/agnitheertham.jpg
Dr. A.P.J. Abdul Kalam Memorial,Rameswaram,Heritage,A memorial built honoring India's Missile Man.,0.0,09:00:00,18:00:00,60,attractions/dr._a.p.j._abdul_kalam_memorial.jpg
Vivekananda Rock Memorial,Kanyakumari,Spiritual,A memorial built on a rock offshore.,50.0,08:00:00,16:00:00,120,attractions/vivekananda_rock_memorial.jpg
Thiruvalluvar Statue,Kanyakumari,Heritage,A 133-foot tall stone statue of Tamil poet.,0.0,08:00:00,16:00:00,60,attractions/thiruvalluvar_statue.jpg
Kanyakumari Temple,Kanyakumari,Spiritual,A 3000-year-old temple overlooking the ocean.,0.0,04:30:00,20:30:00,60,attractions/kanyakumari_temple.jpg
Sunset View Point,Kanyakumari,Nature,A popular beach view point showing spectacular sunsets.,0.0,16:00:00,19:00:00,60,attractions/sunset_view_point.jpg
Triveni Sangam,Kanyakumari,Nature,"The confluence of Bay of Bengal, Arabian Sea, and Indian Ocean.",0.0,00:00:00,23:59:59,45,attractions/triveni_sangam.jpg
Eravikulam National Park,Munnar,Wildlife,Home of the endangered Nilgiri Tahr mountain goat.,200.0,07:30:00,16:00:00,180,attractions/eravikulam_national_park.jpg
Mattupetty Dam,Munnar,Nature,A scenic masonry dam offering speed boat rides.,30.0,09:00:00,17:00:00,90,attractions/mattupetty_dam.jpg
Anamudi Peak,Munnar,Nature,The highest mountain peak in South India.,0.0,08:00:00,16:00:00,120,attractions/anamudi_peak.jpg
Tea Museum Munnar,Munnar,Heritage,A museum tracking history of local tea estates.,75.0,09:00:00,17:00:00,90,attractions/tea_museum_munnar.jpg
Echo Point Munnar,Munnar,Nature,A scenic lake point famous for natural acoustics.,0.0,06:00:00,18:00:00,60,attractions/echo_point_munnar.jpg
Alleppey Backwaters,Alleppey,Nature,"A network of canals, lagoons, and rivers with houseboats.",0.0,00:00:00,23:59:59,240,attractions/alleppey_backwaters.jpg
Alappuzha Beach,Alleppey,Beach,A sandy beach featuring a 150-year-old historic pier.,0.0,06:00:00,22:00:00,90,attractions/alappuzha_beach.jpg
Pathiramanal Island,Alleppey,Nature,A small island haven for rare migratory birds.,0.0,06:00:00,18:00:00,120,attractions/pathiramanal_island.jpg
Krishnapuram Palace,Alleppey,Heritage,A palace displaying fine murals and antiquities.,20.0,09:00:00,16:30:00,90,attractions/krishnapuram_palace.jpg
Alleppey Lighthouse,Alleppey,Heritage,An old red-white lighthouse offering panoramic views.,20.0,15:00:00,17:00:00,45,attractions/alleppey_lighthouse.jpg
Banasura Sagar Dam,Wayanad,Nature,"The largest earth dam in India, offering boating.",40.0,09:00:00,17:00:00,120,attractions/banasura_sagar_dam.jpg
Edakkal Caves,Wayanad,Heritage,Caves displaying Neolithic rock carvings.,20.0,09:00:00,16:00:00,120,attractions/edakkal_caves.jpg
Chembra Peak,Wayanad,Adventure,A popular trekking peak hosting a heart-shaped lake.,20.0,07:00:00,14:00:00,240,attractions/chembra_peak.jpg
Soochipara Waterfalls,Wayanad,Nature,A three-tiered waterfall surrounded by forests.,50.0,09:00:00,17:00:00,90,attractions/soochipara_waterfalls.jpg
Pookode Lake,Wayanad,Nature,A natural freshwater lake offering paddle boats.,30.0,09:00:00,17:00:00,90,attractions/pookode_lake.jpg
Lighthouse Beach,Kovalam,Beach,"The most popular beach, dominated by a tall lighthouse.",0.0,06:00:00,22:00:00,120,attractions/lighthouse_beach.jpg
Hawa Beach,Kovalam,Beach,"Also known as Eve's beach, popular for catamaran rides.",0.0,06:00:00,22:00:00,90,attractions/hawa_beach.jpg
Samudra Beach,Kovalam,Beach,A quiet sandy beach located in northern Kovalam.,0.0,06:00:00,22:00:00,90,attractions/samudra_beach.jpg
Halcyon Castle,Kovalam,Heritage,A palace built by the Royal Family of Travancore.,0.0,09:00:00,18:00:00,45,attractions/halcyon_castle.jpg
Vellayani Lake,Kovalam,Nature,A scenic freshwater lake located in Kovalam suburbs.,0.0,08:00:00,18:00:00,90,attractions/vellayani_lake.jpg
Periyar National Park Boat Cruise,Thekkady,Wildlife,A lake boat cruise to spot wild elephants.,250.0,07:00:00,15:00:00,120,attractions/periyar_national_park_boat_cruise.jpg
Periyar Tiger Trail,Thekkady,Wildlife,A guided trekking trail inside tiger habitats.,3000.0,07:00:00,16:00:00,300,attractions/periyar_tiger_trail.jpg
Abraham's Spice Garden,Thekkady,Nature,An organic farm explaining spice crops.,100.0,08:00:00,18:00:00,90,attractions/abraham's_spice_garden.jpg
Anakkara,Thekkady,Nature,A spice cultivation hub offering local shopping.,0.0,09:00:00,19:00:00,90,attractions/anakkara.jpg
Mangala Devi Temple,Thekkady,Spiritual,A ancient temple situated deep in reserve forests.,0.0,06:00:00,17:00:00,120,attractions/mangala_devi_temple.jpg
Fort Kochi Beach,Kochi,Beach,A beach famous for giant Chinese Fishing Nets.,0.0,06:00:00,22:00:00,90,attractions/fort_kochi_beach.jpg
Mattancherry Palace,Kochi,Heritage,"Also known as the Dutch Palace, hosting historic murals.",5.0,09:00:00,17:00:00,90,attractions/mattancherry_palace.jpg
Paradesi Synagogue,Kochi,Spiritual,The oldest active synagogue in the Commonwealth.,5.0,10:00:00,17:00:00,60,attractions/paradesi_synagogue.jpg
Santa Cruz Cathedral Basilica,Kochi,Spiritual,A grand Gothic style basilica built by Portuguese.,0.0,09:00:00,18:00:00,60,attractions/santa_cruz_cathedral_basilica.jpg
St. Francis Church Kochi,Kochi,Heritage,"The oldest European church in India, where Vasco da Gama lay buried.",0.0,09:00:00,17:00:00,45,attractions/st._francis_church_kochi.jpg
Varkala Cliff Beach,Varkala,Beach,A sandy beach framed by unique towering red cliffs.,0.0,06:00:00,22:00:00,120,attractions/varkala_cliff_beach.jpg
Janardhana Swamy Temple,Varkala,Spiritual,A 2000-year-old temple dedicated to Lord Vishnu.,0.0,06:00:00,20:00:00,90,attractions/janardhana_swamy_temple.jpg
Kappil Beach,Varkala,Beach,A quiet estuary beach where lakes merge with the sea.,0.0,00:00:00,23:59:59,90,attractions/kappil_beach.jpg
Anjengo Fort,Varkala,Heritage,An old British fort constructed in the late 17th century.,0.0,09:00:00,18:00:00,60,attractions/anjengo_fort.jpg
Sivagiri Mutt,Varkala,Spiritual,A sacred ashram pilgrimage founded by Sree Narayana Guru.,0.0,06:00:00,19:00:00,90,attractions/sivagiri_mutt.jpg
Kumarakom Bird Sanctuary,Kumarakom,Wildlife,A sanctuary hosting rare migratory birds.,50.0,06:30:00,17:00:00,120,attractions/kumarakom_bird_sanctuary.jpg
Vembanad Lake Boating,Kumarakom,Nature,A boat cruise on the largest lake in Kerala.,300.0,09:00:00,18:00:00,90,attractions/vembanad_lake_boating.jpg
Aravukad Temple,Kumarakom,Spiritual,A historic local temple showing fine architecture.,0.0,06:00:00,19:00:00,45,attractions/aravukad_temple.jpg
Bay Island Driftwood Museum,Kumarakom,Heritage,A museum housing unique driftwood sculptures.,50.0,10:00:00,17:00:00,60,attractions/bay_island_driftwood_museum.jpg
Kumarakom Beach,Kumarakom,Beach,A small sandy beach area next to local resorts.,0.0,06:00:00,19:00:00,60,attractions/kumarakom_beach.jpg
Tiger Hill Darjeeling,Darjeeling,Nature,A peak offering spectacular sunrise views over Mount Kanchenjunga.,50.0,04:00:00,16:00:00,90,attractions/tiger_hill_darjeeling.jpg
Darjeeling Toy Train,Darjeeling,Heritage,A historic Himalayan railway steam train ride.,1400.0,08:00:00,16:00:00,120,attractions/darjeeling_toy_train.jpg
Batasia Loop,Darjeeling,Heritage,A spiral railway loop surrounding a war memorial.,20.0,06:00:00,17:00:00,60,attractions/batasia_loop.jpg
Padmaja Naidu Himalayan Zoo,Darjeeling,Wildlife,A zoo conserving snow leopards and red pandas.,100.0,08:30:00,16:30:00,120,attractions/padmaja_naidu_himalayan_zoo.jpg
Himalayan Mountaineering Institute,Darjeeling,Heritage,A mountaineering museum set up by Tenzing Norgay.,100.0,09:00:00,17:00:00,90,attractions/himalayan_mountaineering_institute.jpg
Ghoom Monastery,Darjeeling,Spiritual,An old Tibetan Buddhist monastery housing Maitreya Buddha.,0.0,06:00:00,18:00:00,45,attractions/ghoom_monastery.jpg
Durpin Monastery,Kalimpong,Spiritual,A Buddhist monastery offering views of Kalimpong.,0.0,09:00:00,17:00:00,90,attractions/durpin_monastery.jpg
Pine View Nursery,Kalimpong,Nature,A nursery showing hundreds of species of cacti.,20.0,08:30:00,17:30:00,60,attractions/pine_view_nursery.jpg
Graham's Homes,Kalimpong,Heritage,A sprawling school campus built in the British era.,0.0,09:00:00,17:00:00,90,attractions/graham's_homes.jpg
Deolo Hill,Kalimpong,Nature,A high park offering panoramic mountain views.,20.0,08:00:00,18:00:00,120,attractions/deolo_hill.jpg
Morgan House,Kalimpong,Heritage,A colonial British cottage now used as a tourist lodge.,0.0,09:00:00,17:00:00,45,attractions/morgan_house.jpg
Rumtek Monastery,Gangtok,Spiritual,A highly sacred Tibetan Buddhist monastery complex.,50.0,08:00:00,17:00:00,120,attractions/rumtek_monastery.jpg
Nathu La Pass,Gangtok,Adventure,A high mountain pass connecting India and Tibet.,200.0,08:00:00,14:00:00,240,attractions/nathu_la_pass.jpg
Tsomgo Lake,Gangtok,Nature,A high altitude glacial lake situated at 3753 meters.,0.0,08:00:00,15:00:00,180,attractions/tsomgo_lake.jpg
Gangtok Ropeway,Gangtok,Adventure,A cable car offering aerial views of Gangtok city.,150.0,09:30:00,16:30:00,60,attractions/gangtok_ropeway.jpg
MG Marg Gangtok,Gangtok,City,A clean pedestrian avenue with shops and cafes.,0.0,10:00:00,21:30:00,90,attractions/mg_marg_gangtok.jpg
Hanuman Tok,Gangtok,Spiritual,A temple dedicated to Hanuman situated on high peaks.,0.0,07:00:00,18:00:00,60,attractions/hanuman_tok.jpg
Pemayangtse Monastery,Pelling,Spiritual,An old premier Buddhist monastery in Sikkim.,50.0,09:00:00,18:00:00,90,attractions/pemayangtse_monastery.jpg
Pelling Skywalk,Pelling,Adventure,India's first glass skywalk offering views of Chenrezig statue.,100.0,09:00:00,18:00:00,120,attractions/pelling_skywalk.jpg
Rabdentse Ruins,Pelling,Heritage,The ancient ruins of the second capital of Sikkim.,0.0,09:00:00,17:00:00,90,attractions/rabdentse_ruins.jpg
Kanchenjunga Falls,Pelling,Nature,A giant high waterfall crashing down rocky cliffs.,20.0,08:00:00,17:00:00,60,attractions/kanchenjunga_falls.jpg
Khecheopalri Lake,Pelling,Spiritual,A sacred wishing lake hidden in dense forests.,20.0,08:00:00,18:00:00,90,attractions/khecheopalri_lake.jpg
Shillong Peak,Shillong,Nature,The highest point in Shillong offering city views.,50.0,09:00:00,17:00:00,90,attractions/shillong_peak.jpg
Elephant Falls,Shillong,Nature,A three-tiered waterfall with stepping walkways.,20.0,09:00:00,17:00:00,60,attractions/elephant_falls.jpg
Umiam Lake,Shillong,Nature,A massive reservoir lake offering water sports.,50.0,09:00:00,18:00:00,120,attractions/umiam_lake.jpg
Don Bosco Museum,Shillong,Heritage,A major museum of indigenous cultures of Northeast.,100.0,09:00:00,17:30:00,150,attractions/don_bosco_museum.jpg
Ward's Lake,Shillong,Nature,A horseshoe-shaped lake situated in city center.,25.0,09:00:00,17:30:00,90,attractions/ward's_lake.jpg
Nohkalikai Falls,Cherrapunji,Nature,"The tallest plunge waterfall in India, dropping 340 meters.",20.0,09:00:00,17:00:00,90,attractions/nohkalikai_falls.jpg
Double Decker Living Root Bridge,Cherrapunji,Adventure,A unique bio-engineered tree bridge at Nongriat.,50.0,06:00:00,17:00:00,240,attractions/double_decker_living_root_bridge.jpg
Mawsmai Cave,Cherrapunji,Adventure,A lit limestone cave system showing stalactites.,20.0,09:00:00,17:00:00,90,attractions/mawsmai_cave.jpg
Seven Sisters Falls Cherra,Cherrapunji,Nature,A seven-segmented plunge waterfall coming off cliffs.,0.0,09:00:00,17:00:00,60,attractions/seven_sisters_falls_cherra.jpg
Eco Park Cherrapunji,Cherrapunji,Nature,A park on cliffs offering views of Bangladesh plains.,20.0,08:00:00,18:00:00,60,attractions/eco_park_cherrapunji.jpg
Elephant Safari Kaziranga,Kaziranga,Wildlife,An early morning elephant safari to spot rhinos.,800.0,05:00:00,07:30:00,120,attractions/elephant_safari_kaziranga.jpg
Jeep Safari Kaziranga,Kaziranga,Wildlife,A safari exploring core zones like Kohora and Bagori.,2000.0,07:30:00,16:00:00,180,attractions/jeep_safari_kaziranga.jpg
Kaziranga National Orchid Park,Kaziranga,Nature,A large conservatory showcasing rare orchids.,100.0,08:00:00,18:00:00,90,attractions/kaziranga_national_orchid_park.jpg
Hollongapar Gibbon Sanctuary,Kaziranga,Wildlife,"Home of India's only gibbons, the Hoolock Gibbon.",250.0,06:00:00,17:00:00,150,attractions/hollongapar_gibbon_sanctuary.jpg
Kakochang Waterfalls,Kaziranga,Nature,A scenic waterfall located close to rubber estates.,0.0,08:00:00,17:00:00,120,attractions/kakochang_waterfalls.jpg
Kamalabari Satra,Majuli,Spiritual,A famous Vaishnavite monastery center for arts.,0.0,09:00:00,17:00:00,90,attractions/kamalabari_satra.jpg
Dakhinpat Satra,Majuli,Spiritual,A royal satra showing ancient manuscripts.,0.0,09:00:00,17:00:00,90,attractions/dakhinpat_satra.jpg
Garmur Satra,Majuli,Spiritual,A prominent Satra housing old armaments.,0.0,09:00:00,17:00:00,60,attractions/garmur_satra.jpg
Tengapania,Majuli,Nature,A picnic spot situated next to Brahmaputra riverbanks.,0.0,08:00:00,18:00:00,60,attractions/tengapania.jpg
Samaguri Satra,Majuli,Heritage,Famed Satra known for masks craftsmanship.,0.0,09:00:00,17:00:00,90,attractions/samaguri_satra.jpg
Tawang Monastery,Tawang,Spiritual,The second largest Buddhist monastery in the world.,0.0,07:00:00,19:00:00,120,attractions/tawang_monastery.jpg
Sela Pass,Tawang,Adventure,A high mountain pass situated at 4170 meters.,0.0,08:00:00,16:00:00,120,attractions/sela_pass.jpg
Nuranang Falls,Tawang,Nature,"Also known as Jang Falls, a stunning 100-meter waterfall.",0.0,08:00:00,17:00:00,90,attractions/nuranang_falls.jpg
Maduri Lake,Tawang,Nature,"Originally called Sangestar Tso, formed by an earthquake.",0.0,08:00:00,16:00:00,120,attractions/maduri_lake.jpg
Tawang War Memorial,Tawang,Heritage,A stupa built honoring soldiers of 1962 Sino-Indian War.,0.0,09:00:00,18:00:00,60,attractions/tawang_war_memorial.jpg
Talle Valley Wildlife Sanctuary,Ziro,Wildlife,A biodiversity reserve containing rare flora.,50.0,08:00:00,16:30:00,180,attractions/talle_valley_wildlife_sanctuary.jpg
Meghna Cave Temple,Ziro,Spiritual,A historic cave temple dedicated to Lord Shiva.,0.0,07:00:00,18:00:00,60,attractions/meghna_cave_temple.jpg
Tarin Fish Farm,Ziro,Nature,A unique high altitude paddy-cum-fish culture farm.,20.0,09:00:00,17:00:00,60,attractions/tarin_fish_farm.jpg
Kile Pakho,Ziro,Nature,A ridge offering panoramic valley views.,0.0,08:00:00,17:00:00,90,attractions/kile_pakho.jpg
Ziro Putu,Ziro,Nature,A small hillock offering panoramic Ziro valley views.,0.0,08:00:00,18:00:00,60,attractions/ziro_putu.jpg
Jagannath Temple Puri,Puri,Spiritual,An ancient grand temple dedicated to Lord Jagannath.,0.0,05:00:00,23:00:00,120,attractions/jagannath_temple_puri.jpg
Golden Beach Puri,Puri,Beach,A blue flag beach famous for sand art displays.,20.0,06:00:00,22:00:00,120,attractions/golden_beach_puri.jpg
Chilika Lake at Satapada,Puri,Nature,A brackish lagoon offering dolphin watching cruises.,200.0,08:00:00,17:00:00,180,attractions/chilika_lake_at_satapada.jpg
Gundicha Temple,Puri,Spiritual,A garden temple where deities stay during Ratha Yatra.,0.0,06:00:00,21:00:00,90,attractions/gundicha_temple.jpg
Raghurajpur Artist Village,Puri,Heritage,A heritage crafts village famous for Pattachitra art.,0.0,09:00:00,18:00:00,120,attractions/raghurajpur_artist_village.jpg
Konark Sun Temple,Konark,Heritage,A massive 13th-century chariot-shaped Sun temple.,40.0,06:00:00,20:00:00,120,attractions/konark_sun_temple.jpg
Chandrabhaga Beach,Konark,Beach,A quiet sandy beach situated next to Sun Temple.,0.0,00:00:00,23:59:59,90,attractions/chandrabhaga_beach.jpg
Konark Archaeological Museum,Konark,Heritage,A museum housing original temple carvings.,10.0,09:00:00,17:00:00,90,attractions/konark_archaeological_museum.jpg
Kuruma Buddhist Site,Konark,Heritage,An ancient Buddhist monastery site located nearby.,0.0,08:00:00,17:00:00,60,attractions/kuruma_buddhist_site.jpg
Ramachandi Temple,Konark,Spiritual,A temple situated at the confluence of Kushabhadra river.,0.0,06:00:00,19:00:00,60,attractions/ramachandi_temple.jpg
Lingaraj Temple,Bhubaneswar,Spiritual,A grand 11th-century temple dedicated to Harihara.,0.0,06:00:00,21:00:00,120,attractions/lingaraj_temple.jpg
Udayagiri and Khandagiri Caves,Bhubaneswar,Heritage,Rock-cut caves containing ancient inscriptions.,25.0,09:00:00,17:00:00,120,attractions/udayagiri_and_khandagiri_caves.jpg
Dhauli Shanti Stupa,Bhubaneswar,Spiritual,A white peace stupa overlooking Kalinga war fields.,0.0,06:00:00,20:00:00,90,attractions/dhauli_shanti_stupa.jpg
Nandankanan Zoological Park,Bhubaneswar,Wildlife,A zoo famous for white tiger safaris.,100.0,08:00:00,17:00:00,150,attractions/nandankanan_zoological_park.jpg
Mukteshvara Temple,Bhubaneswar,Spiritual,An old temple famous for its arched stone gateway.,0.0,06:00:00,19:00:00,60,attractions/mukteshvara_temple.jpg
Victoria Memorial,Kolkata,Heritage,A white marble palace museum built for Queen Victoria.,60.0,10:00:00,17:00:00,120,attractions/victoria_memorial.jpg
Dakshineswar Kali Temple,Kolkata,Spiritual,A major temple complex dedicated to Goddess Kali.,0.0,06:00:00,21:00:00,120,attractions/dakshineswar_kali_temple.jpg
Howrah Bridge,Kolkata,Heritage,An iconic cantilever steel bridge crossing Hooghly river.,0.0,00:00:00,23:59:59,45,attractions/howrah_bridge.jpg
Indian Museum Kolkata,Kolkata,Heritage,The oldest and largest multipurpose museum in Asia.,50.0,10:00:00,17:00:00,150,attractions/indian_museum_kolkata.jpg
Belur Math,Kolkata,Spiritual,"Headquarters of Ramakrishna Mission, promoting universal religion.",0.0,06:00:00,20:30:00,90,attractions/belur_math.jpg
Science City Kolkata,Kolkata,City,A major interactive science exhibition park.,100.0,09:00:00,20:00:00,180,attractions/science_city_kolkata.jpg
Rishikonda Beach,Visakhapatnam,Beach,A blue flag beach popular for swimming and windsurfing.,20.0,06:00:00,18:00:00,120,attractions/rishikonda_beach.jpg
INS Kursura Submarine Museum,Visakhapatnam,Heritage,A decommissioned submarine set up on the beach.,70.0,14:00:00,20:30:00,90,attractions/ins_kursura_submarine_museum.jpg
Kailasagiri,Visakhapatnam,Nature,A hilltop park offering panoramic views of the bay.,20.0,08:00:00,20:00:00,90,attractions/kailasagiri.jpg
Yarada Beach,Visakhapatnam,Beach,A tranquil beach surrounded by hills on three sides.,0.0,06:00:00,18:00:00,90,attractions/yarada_beach.jpg
