package_name,destination_name,duration,package_type,price,description,image
Luxury Gateway to Pelling,Pelling,4,Luxury,18000.0,"Indulge in premium luxury travel to Pelling featuring boutique resorts, private cars, and personal guides.",packages/pelling-luxury.jpg
Budget Exploration of Shillong,Shillong,3,Budget,5880.0,An affordable package to explore the best highlights of Shillong including basic lodgings.,packages/shillong-budget.jpg
Standard Experience in Shillong,Shillong,4,Standard,11200.0,Enjoy a comfortable tour of Shillong with standard accommodations and guided sightseeing tours.,packages/shillong-standard.jpg
Luxury Gateway to Shillong,Shillong,5,Luxury,25200.0,"Indulge in premium luxury travel to Shillong featuring boutique resorts, private cars, and personal guides.",packages/shillong-luxury.jpg
Budget Exploration of Cherrapunji,Cherrapunji,2,Budget,4200.0,An affordable package to explore the best highlights of Cherrapunji including basic lodgings.,packages/cherrapunji-budget.jpg
Standard Experience in Cherrapunji,Cherrapunji,3,Standard,9000.0,Enjoy a comfortable tour of Cherrapunji with standard accommodations and guided sightseeing tours.,packages/cherrapunji-standard.jpg
Luxury Gateway to Cherrapunji,Cherrapunji,4,Luxury,21600.0,"Indulge in premium luxury travel to Cherrapunji featuring boutique resorts, private cars, and personal guides.",packages/cherrapunji-luxury.jpg
Budget Exploration of Kaziranga,Kaziranga,2,Budget,6300.0,An affordable package to explore the best highlights of Kaziranga including basic lodgings.,packages/kaziranga-budget.jpg
Standard Experience in Kaziranga,Kaziranga,3,Standard,13500.0,Enjoy a comfortable tour of Kaziranga with standard accommodations and guided sightseeing tours.,packages/kaziranga-standard.jpg
Luxury Gateway to Kaziranga,Kaziranga,4,Luxury,32400.0,"Indulge in premium luxury travel to Kaziranga featuring boutique resorts, private cars, and personal guides.",packages/kaziranga-luxury.jpg
Budget Exploration of Majuli,Majuli,2,Budget,2100.0,An affordable package to explore the best highlights of Majuli including basic lodgings.,packages/majuli-budget.jpg
Standard Experience in Majuli,Majuli,3,Standard,4500.0,Enjoy a comfortable tour of Majuli with standard accommodations and guided sightseeing tours.,packages/majuli-standard.jpg
Luxury Gateway to Majuli,Majuli,4,Luxury,10800.0,"Indulge in premium luxury travel to Majuli featuring boutique resorts, private cars, and personal guides.",packages/majuli-luxury.jpg
Budget Exploration of Tawang,Tawang,4,Budget,8400.0,An affordable package to explore the best highlights of Tawang including basic lodgings.,packages/tawang-budget.jpg
Standard Experience in Tawang,Tawang,5,Standard,15000.0,Enjoy a comfortable tour of Tawang with standard accommodations and guided sightseeing tours.,packages/tawang-standard.jpg
Luxury Gateway to Tawang,Tawang,6,Luxury,32400.0,"Indulge in premium luxury travel to Tawang featuring boutique resorts, private cars, and personal guides.",packages/tawang-luxury.jpg
Budget Exploration of Ziro,Ziro,2,Budget,2240.0,An affordable package to explore the best highlights of Ziro including basic lodgings.,packages/ziro-budget.jpg
Standard Experience in Ziro,Ziro,3,Standard,4800.0,Enjoy a comfortable tour of Ziro with standard accommodations and guided sightseeing tours.,packages/ziro-standard.jpg
Luxury Gateway to Ziro,Ziro,4,Luxury,11520.0,"Indulge in premium luxury travel to Ziro featuring boutique resorts, private cars, and personal guides.",packages/ziro-luxury.jpg
Budget Exploration of Puri,Puri,2,Budget,2520.0,An affordable package to explore the best highlights of Puri including basic lodgings.,packages/puri-budget.jpg
Standard Experience in Puri,Puri,3,Standard,5400.0,Enjoy a comfortable tour of Puri with standard accommodations and guided sightseeing tours.,packages/puri-standard.jpg
Luxury Gateway to Puri,Puri,4,Luxury,12960.0,"Indulge in premium luxury travel to Puri featuring boutique resorts, private cars, and personal guides.",packages/puri-luxury.jpg
Budget Exploration of Konark,Konark,2,Budget,3080.0,An affordable package to explore the best highlights of Konark including basic lodgings.,packages/konark-budget.jpg
Standard Experience in Konark,Konark,3,Standard,6600.0,Enjoy a comfortable tour of Konark with standard accommodations and guided sightseeing tours.,packages/konark-standard.jpg
Luxury Gateway to Konark,Konark,4,Luxury,15840.0,"Indulge in premium luxury travel to Konark featuring boutique resorts, private cars, and personal guides.",packages/konark-luxury.jpg
Budget Exploration of Bhubaneswar,Bhubaneswar,2,Budget,2800.0,An affordable package to explore the best highlights of Bhubaneswar including basic lodgings.,packages/bhubaneswar-budget.jpg
Standard Experience in Bhubaneswar,Bhubaneswar,3,Standard,6000.0,Enjoy a comfortable tour of Bhubaneswar with standard accommodations and guided sightseeing tours.,packages/bhubaneswar-standard.jpg
Luxury Gateway to Bhubaneswar,Bhubaneswar,4,Luxury,14400.0,"Indulge in premium luxury travel to Bhubaneswar featuring boutique resorts, private cars, and personal guides.",packages/bhubaneswar-luxury.jpg
Budget Exploration of Kolkata,Kolkata,3,Budget,5460.0,An affordable package to explore the best highlights of Kolkata including basic lodgings.,packages/kolkata-budget.jpg
Standard Experience in Kolkata,Kolkata,4,Standard,10400.0,Enjoy a comfortable tour of Kolkata with standard accommodations and guided sightseeing tours.,packages/kolkata-standard.jpg
Luxury Gateway to Kolkata,Kolkata,5,Luxury,23400.0,"Indulge in premium luxury travel to Kolkata featuring boutique resorts, private cars, and personal guides.",packages/kolkata-luxury.jpg
Budget Exploration of Visakhapatnam,Visakhapatnam,2,Budget,3500.0,An affordable package to explore the best highlights of Visakhapatnam including basic lodgings.,packages/visakhapatnam-budget.jpg
Standard Experience in Visakhapatnam,Visakhapatnam,3,Standard,7500.0,Enjoy a comfortable tour of Visakhapatnam with standard accommodations and guided sightseeing tours.,packages/visakhapatnam-standard.jpg
Luxury Gateway to Visakhapatnam,Visakhapatnam,4,Luxury,18000.0,"Indulge in premium luxury travel to Visakhapatnam featuring boutique resorts, private cars, and personal guides.",packages/visakhapatnam-luxury.jpg
Budget Exploration of Tirupati,Tirupati,2,Budget,4200.0,An affordable package to explore the best highlights of Tirupati including basic lodgings.,packages/tirupati-budget.jpg
Standard Experience in Tirupati,Tirupati,3,Standard,9000.0,Enjoy a comfortable tour of Tirupati with standard accommodations and guided sightseeing tours.,packages/tirupati-standard.jpg
Luxury Gateway to Tirupati,Tirupati,4,Luxury,21600.0,"Indulge in premium luxury travel to Tirupati featuring boutique resorts, private cars, and personal guides.",packages/tirupati-luxury.jpg
Budget Exploration of Araku Valley,Araku Valley,2,Budget,2520.0,An affordable package to explore the best highlights of Araku Valley including basic lodgings.,packages/araku_valley-budget.jpg
Standard Experience in Araku Valley,Araku Valley,3,Standard,5400.0,Enjoy a comfortable tour of Araku Valley with standard accommodations and guided sightseeing tours.,packages/araku_valley-standard.jpg
Luxury Gateway to Araku Valley,Araku Valley,4,Luxury,12960.0,"Indulge in premium luxury travel to Araku Valley featuring boutique resorts, private cars, and personal guides.",packages/araku_valley-luxury.jpg
Budget Exploration of Pondicherry,Pondicherry,2,Budget,3920.0,An affordable package to explore the best highlights of Pondicherry including basic lodgings.,packages/pondicherry-budget.jpg
Standard Experience in Pondicherry,Pondicherry,3,Standard,8400.0,Enjoy a comfortable tour of Pondicherry with standard accommodations and guided sightseeing tours.,packages/pondicherry-standard.jpg
Luxury Gateway to Pondicherry,Pondicherry,4,Luxury,20160.0,"Indulge in premium luxury travel to Pondicherry featuring boutique resorts, private cars, and personal guides.",packages/pondicherry-luxury.jpg
Budget Exploration of Havelock Island,Havelock Island,3,Budget,13650.0,An affordable package to explore the best highlights of Havelock Island including basic lodgings.,packages/havelock_island-budget.jpg
Standard Experience in Havelock Island,Havelock Island,4,Standard,26000.0,Enjoy a comfortable tour of Havelock Island with standard accommodations and guided sightseeing tours.,packages/havelock_island-standard.jpg
Luxury Gateway to Havelock Island,Havelock Island,5,Luxury,58500.0,"Indulge in premium luxury travel to Havelock Island featuring boutique resorts, private cars, and personal guides.",packages/havelock_island-luxury.jpg
Budget Exploration of Port Blair,Port Blair,2,Budget,4900.0,An affordable package to explore the best highlights of Port Blair including basic lodgings.,packages/port_blair-budget.jpg
Standard Experience in Port Blair,Port Blair,3,Standard,10500.0,Enjoy a comfortable tour of Port Blair with standard accommodations and guided sightseeing tours.,packages/port_blair-standard.jpg
Luxury Gateway to Port Blair,Port Blair,4,Luxury,25200.0,"Indulge in premium luxury travel to Port Blair featuring boutique resorts, private cars, and personal guides.",packages/port_blair-luxury.jpg
Budget Exploration of Gir National Park,Gir National Park,2,Budget,6720.0,An affordable package to explore the best highlights of Gir National Park including basic lodgings.,packages/gir_national_park-budget.jpg
Standard Experience in Gir National Park,Gir National Park,3,Standard,14400.0,Enjoy a comfortable tour of Gir National Park with standard accommodations and guided sightseeing tours.,packages/gir_national_park-standard.jpg
Luxury Gateway to Gir National Park,Gir National Park,4,Luxury,34560.0,"Indulge in premium luxury travel to Gir National Park featuring boutique resorts, private cars, and personal guides.",packages/gir_national_park-luxury.jpg
Budget Exploration of Rann of Kutch,Rann of Kutch,2,Budget,7700.0,An affordable package to explore the best highlights of Rann of Kutch including basic lodgings.,packages/rann_of_kutch-budget.jpg
Standard Experience in Rann of Kutch,Rann of Kutch,3,Standard,16500.0,Enjoy a comfortable tour of Rann of Kutch with standard accommodations and guided sightseeing tours.,packages/rann_of_kutch-standard.jpg
Luxury Gateway to Rann of Kutch,Rann of Kutch,4,Luxury,39600.0,"Indulge in premium luxury travel to Rann of Kutch featuring boutique resorts, private cars, and personal guides.",packages/rann_of_kutch-luxury.jpg
